0.7477	0.7396	0.7256	0.7231	0.7093	0.7603	0.8086	0.7872
0.8516	0.7507	0.7344	0.7235	0.7082	0.7648	0.8177	0.7923
0.8902	0.7516	0.7246	0.7293	0.7209	0.7776	0.8213	0.8182
0.9140	0.7581	0.7374	0.7384	0.7268	0.7800	0.8220	0.8307
0.9031	0.7615	0.7177	0.7354	0.7275	0.7886	0.8197	0.7920
0.9466	0.7594	0.7253	0.7364	0.7324	0.7851	0.8231	0.8139
0.9357	0.7581	0.7235	0.7425	0.7240	0.7889	0.8173	0.8082
0.9357	0.7657	0.7054	0.7497	0.7417	0.7869	0.8173	0.8060
0.9417	0.7609	0.7103	0.7518	0.7385	0.7984	0.8104	0.8046
0.9466	0.7655	0.7066	0.7469	0.7326	0.7909	0.8111	0.8150
0.9397	0.7652	0.7189	0.7498	0.7425	0.7971	0.8184	0.8199
0.9219	0.7673	0.7171	0.7522	0.7381	0.7896	0.8105	0.7910
0.9367	0.7620	0.7153	0.7465	0.7354	0.8014	0.8187	0.8114
0.9179	0.7599	0.7348	0.7545	0.7389	0.8001	0.8166	0.8014
0.9318	0.7632	0.7101	0.7487	0.7404	0.8048	0.7999	0.8139
0.9476	0.7635	0.7170	0.7501	0.7422	0.8081	0.8143	0.8118
0.9090	0.7686	0.7070	0.7471	0.7381	0.8142	0.8040	0.7844
0.9268	0.7576	0.7084	0.7460	0.7408	0.8088	0.7965	0.7704
0.9169	0.7612	0.7112	0.7438	0.7331	0.8118	0.8003	0.8082
0.9209	0.7626	0.7114	0.7511	0.7427	0.8142	0.7908	0.7886
0.9318	0.7619	0.7170	0.7407	0.7343	0.8093	0.7985	0.7953
0.9130	0.7642	0.7195	0.7480	0.7399	0.8065	0.8033	0.8021
0.9090	0.7668	0.7092	0.7525	0.7453	0.8066	0.8116	0.7870
0.9209	0.7608	0.7133	0.7462	0.7384	0.8095	0.8111	0.7927
0.9001	0.7581	0.7126	0.7479	0.7376	0.8070	0.8021	0.7988
0.8961	0.7527	0.7137	0.7486	0.7390	0.8138	0.7988	0.8053
0.9100	0.7571	0.7119	0.7454	0.7425	0.8076	0.7961	0.8078
0.8951	0.7602	0.7078	0.7512	0.7442	0.8079	0.7993	0.8075
0.9139	0.7512	0.7037	0.7481	0.7454	0.8112	0.7816	0.7748
0.8981	0.7601	0.7026	0.7579	0.7438	0.8133	0.8018	0.7981
0.9051	0.7489	0.7036	0.7445	0.7381	0.8055	0.7847	0.7852
0.9120	0.7546	0.7082	0.7437	0.7329	0.8141	0.7992	0.8014
0.9070	0.7504	0.6913	0.7444	0.7302	0.8146	0.7916	0.7801
0.8872	0.7598	0.6958	0.7346	0.7389	0.8092	0.7797	0.7527
0.8892	0.7471	0.6926	0.7449	0.7342	0.8070	0.7800	0.7519
0.8932	0.7492	0.6950	0.7367	0.7258	0.8102	0.7807	0.7730
0.8783	0.7488	0.6977	0.7356	0.7305	0.8084	0.7820	0.7902
0.8823	0.7494	0.6995	0.7372	0.7382	0.8088	0.7875	0.7541
0.8773	0.7514	0.7016	0.7348	0.7270	0.8196	0.7849	0.7686
0.8892	0.7554	0.6929	0.7417	0.7328	0.8117	0.7796	0.7527
0.8941	0.7415	0.6956	0.7410	0.7385	0.8098	0.7733	0.7748
0.8853	0.7481	0.6961	0.7462	0.7344	0.8140	0.7793	0.7585
0.8813	0.7454	0.7044	0.7440	0.7360	0.8112	0.7827	0.7580
0.9011	0.7397	0.6860	0.7457	0.7342	0.8103	0.7827	0.7739
0.8951	0.7512	0.6885	0.7409	0.7323	0.8124	0.7814	0.7892
0.8763	0.7472	0.6909	0.7466	0.7344	0.8127	0.7731	0.7669
