1	4550	0.2161	0.004334	0.004334
2	10000	0.7638	0.03488	0.01961
3	50	0.2362	0.006299	0.01517
4	50	0.2362	0.006299	0.01295
5	50	0.2362	0.006299	0.01162
6	1100	0.1307	0.002298	0.01007
7	50	0.2362	0.006299	0.00953
8	50	0.2362	0.006299	0.009126
9	50	0.2362	0.006299	0.008812
10	50	0.2362	0.006299	0.008561
11	7400	0.5025	0.01761	0.009383
12	5150	0.2764	0.006328	0.009128
13	5850	0.3467	0.01023	0.009213
14	10000	0.7638	0.03488	0.01105
15	50	0.2362	0.006299	0.01073
16	50	0.2362	0.006299	0.01045
17	3850	0.1457	0.003128	0.01002
18	2950	0.0553	0.003568	0.009664
19	4900	0.2513	0.006542	0.009499
20	4000	0.1608	0.003185	0.009184
21	4200	0.1809	0.003667	0.00915
22	1400	0.1005	0.003105	0.007562
23	1550	0.0854	0.002367	0.007365
24	3550	0.1156	0.001722	0.007136
25	2850	0.0452	0.002837	0.006963
26	3000	0.0603	0.001005	0.006898
27	4650	0.2261	0.005892	0.006878
28	3350	0.0955	0.002151	0.006671
29	3050	0.0653	0.001729	0.006442
30	1850	0.0553	0.001967	0.006225
31	2850	0.0452	0.002837	0.005487
32	2800	0.0402	0.0007015	0.005206
33	2200	0.0201	0.002111	0.004799
34	4200	0.1809	0.003667	0.003239
35	2650	0.0251	0.002753	0.003062
36	2750	0.0352	0.003922	0.002943
37	4250	0.1859	0.003898	0.002981
38	3200	0.0804	0.002334	0.00292
39	3050	0.0653	0.001729	0.002679
40	3500	0.1106	0.003332	0.002686
41	3350	0.0955	0.002151	0.00261
42	3250	0.0854	0.002318	0.002571
43	4450	0.206	0.005206	0.002713
44	2150	0.0251	0.0025	0.002752
45	100	0.2312	0.006026	0.002912
46	2000	0.0402	0.001907	0.002957
47	3200	0.0804	0.002334	0.002779
48	1950	0.0452	0.0006549	0.002704
49	3050	0.0653	0.001729	0.002704
50	2800	0.0402	0.0007015	0.002641
51	2050	0.0352	0.003084	0.002653
52	700	0.1709	0.005145	0.002875
53	2100	0.0302	0.00181	0.00286
54	50	0.2362	0.006299	0.002992
55	1550	0.0854	0.002367	0.002972
56	800	0.1608	0.004193	0.002986
57	1900	0.0503	0.001944	0.002888
58	1800	0.0603	0.002215	0.002882
59	2550	0.0151	0.0007331	0.002832
60	4250	0.1859	0.003898	0.002861
61	1900	0.0503	0.001944	0.00285
62	50	0.2362	0.006299	0.00305
63	2800	0.0402	0.0007015	0.002824
64	3400	0.1005	0.00361	0.00288
65	2250	0.0151	0.001263	0.002642
66	2100	0.0302	0.00181	0.002637
67	50	0.2362	0.006299	0.002835
68	650	0.1759	0.003806	0.002993
69	3050	0.0653	0.001729	0.002993
70	2550	0.0151	0.0007331	0.002994
71	2700	0.0302	0.0008765	0.002884
72	950	0.1457	0.003187	0.002786
73	2000	0.0402	0.001907	0.002791
74	2950	0.0553	0.003568	0.002654
75	1750	0.0653	0.0004248	0.002557
76	3450	0.1055	0.002499	0.002472
77	2350	0.005	0.0001702	0.002384
78	1800	0.0603	0.002215	0.002384
79	1100	0.1307	0.002298	0.002462
80	1150	0.1256	0.003304	0.002432
81	2450	0.005	0.001981	0.002434
82	600	0.1809	0.004213	0.00233
83	2700	0.0302	0.0008765	0.002339
84	2300	0.0101	0.0008451	0.0022
85	3000	0.0603	0.001005	0.002187
86	1700	0.0704	0.002594	0.002227
87	2200	0.0201	0.002111	0.002017
88	2150	0.0251	0.0025	0.001952
89	50	0.2362	0.006299	0.002181
90	50	0.2362	0.006299	0.002459
91	50	0.2362	0.006299	0.00273
92	200	0.2211	0.007512	0.002946
93	2750	0.0352	0.003922	0.003047
94	1850	0.0553	0.001967	0.002967
95	1200	0.1206	0.003514	0.003121
96	900	0.1508	0.004716	0.003232
97	1100	0.1307	0.002298	0.003339
98	850	0.1558	0.002576	0.003357
99	1900	0.0503	0.001944	0.003339
100	100	0.2312	0.006026	0.003475
101	1550	0.0854	0.002367	0.003494
102	500	0.191	0.002755	0.003421
103	1700	0.0704	0.002594	0.003507
104	50	0.2362	0.006299	0.00378
105	1550	0.0854	0.002367	0.003848
106	2050	0.0352	0.003084	0.003873
107	300	0.2111	0.005087	0.004021
108	1600	0.0804	0.001399	0.003966
109	2000	0.0402	0.001907	0.003747
110	2150	0.0251	0.0025	0.003557
111	2200	0.0201	0.002111	0.003347
112	200	0.2211	0.007512	0.003347
113	1450	0.0955	0.002772	0.00329
114	1950	0.0452	0.0006549	0.003224
115	1550	0.0854	0.002367	0.003167
116	1750	0.0653	0.0004248	0.002952
117	900	0.1508	0.004716	0.003073
118	1650	0.0754	0.002355	0.003062
119	1750	0.0653	0.0004248	0.002986
120	2200	0.0201	0.002111	0.00279
121	1500	0.0905	0.003678	0.002856
122	1600	0.0804	0.001399	0.002788
123	1150	0.1256	0.003304	0.002824
124	2300	0.0101	0.0008451	0.002551
125	2400	0	0	0.002433
126	1300	0.1106	0.003625	0.00246
127	1400	0.1005	0.003105	0.002361
128	1100	0.1307	0.002298	0.002406
129	1450	0.0955	0.002772	0.002449
130	2550	0.0151	0.0007331	0.002361
131	1450	0.0955	0.002772	0.002394
132	1850	0.0553	0.001967	0.002116
133	1500	0.0905	0.003678	0.002162
134	1550	0.0854	0.002367	0.002247
135	1100	0.1307	0.002298	0.002244
136	750	0.1658	0.003654	0.002405
137	300	0.2111	0.005087	0.002424
138	2200	0.0201	0.002111	0.002412
139	3100	0.0704	0.001405	0.002461
140	50	0.2362	0.006299	0.00267
141	50	0.2362	0.006299	0.002801
