1	100	0.009201	0.01385	0.01385
2	6100	0.005374	0.03191	0.02288
3	5100	0.004658	0.0237	0.02315
4	100	0.005068	0.01385	0.02083
5	100	0.005033	0.01385	0.01943
6	100	0.004429	0.01385	0.0185
7	100	0.004681	0.01385	0.01784
8	100	0.005132	0.01385	0.01734
9	100	0.005166	0.01385	0.01695
10	100	0.00527	0.01385	0.01664
11	100	0.004395	0.01385	0.01639
12	100	0.004781	0.01385	0.01618
13	100	0.004393	0.01385	0.016
14	100	0.005341	0.01385	0.01584
15	3600	0.004812	0.01129	0.01554
16	6050	0.006447	0.0301	0.01645
17	100	0.006308	0.01385	0.0163
18	700	0.005034	0.007698	0.01582
19	6100	0.005407	0.03191	0.01667
20	1100	0.004755	0.001991	0.01593
21	2100	0.004795	0.002791	0.01538
22	2250	0.00475	0.0006908	0.01382
23	4850	0.005125	0.01647	0.01346
24	1800	0.004664	0.001825	0.01286
25	1350	0.004586	0.004042	0.01237
26	2250	0.004616	0.0006908	0.01171
27	1700	0.004428	0.00193	0.01111
28	1550	0.004426	0.001093	0.01047
29	100	0.004708	0.01385	0.01047
30	1750	0.004679	0.005981	0.01008
31	900	0.00445	0.001707	0.009473
32	1850	0.004449	0.002227	0.008891
33	4650	0.005097	0.01163	0.00878
34	3400	0.004634	0.01147	0.008661
35	3150	0.004495	0.009658	0.00858
36	3200	0.00448	0.00815	0.007482
37	2400	0.00455	0.002072	0.006894
38	2300	0.004417	0.003407	0.006679
39	750	0.004746	0.005164	0.005342
40	1950	0.004297	0.00234	0.005359
41	2700	0.004602	0.008068	0.005623
42	1950	0.004667	0.00234	0.005706
43	1650	0.004303	0.001305	0.004948
44	1400	0.004656	0	0.004856
45	2050	0.004273	0.001745	0.004742
46	1700	0.004877	0.00193	0.004803
47	1600	0.004333	0.002453	0.00483
48	1650	0.004388	0.001305	0.00484
49	1800	0.004679	0.001825	0.004239
50	1400	0.004699	0	0.00394
51	2150	0.004553	0.001199	0.003914
52	1000	0.004475	0.002109	0.003909
53	1500	0.004363	0.003771	0.003516
